,price,value,value_with_fees
1732670833.106129,92306.76,100000.0,100000.0
1732670836.61378,92294.1,100000.0,100000.0
1732670840.447319,92285.04,100000.0,100000.0
1732670841.60555,92289.23,100000.0,100000.0
1732670843.011065,92312.21,100000.0,100000.0
1732670843.252677,92289.23,100000.0,100000.0
1732670843.710789,92312.21,100000.0,100000.0
1732670844.717379,92320.46,100000.0,100000.0
1732670844.964387,92312.21,100000.0,100000.0
1732670845.262146,92340.04,100000.0,100000.0
1732670845.793402,92329.32,100000.0,100000.0
1732670846.071196,92343.71,100000.0,100000.0
1732670846.381599,92340.04,100000.0,100000.0
1732670846.660392,92343.71,100000.0,100000.0
1732670847.011613,92343.86,100000.0,100000.0
1732670848.03113,92348.11,100000.0,100000.0
1732670848.523223,92351.71,100000.0,100000.0
1732670852.180574,92362.21,100000.0,100000.0
1732670852.411426,92362.13,100000.0,100000.0
1732670852.635769,92362.21,100000.0,100000.0
1732670852.853062,92356.54,100000.0,100000.0
1732670857.290274,92340.99,100000.0,99903.24048409873
1732670857.920886,92321.44,99978.82847043333,99823.31789171144
1732670858.095536,92327.57,99978.82847043333,99750.14588802305
1732670858.287973,92321.44,99972.19047250353,99670.34577131263
1732670858.762344,92321.46,99972.19047250353,99590.69480749246
1732670859.554438,92321.42,99972.1471576814,99511.02225164646
1732670865.154164,92326.4,99972.1471576814,99436.84060053201
1732670865.571017,92321.42,99966.75475320287,99357.29112805158
1732670865.820395,92326.4,99966.75475320287,99283.22407759461
1732670866.528774,92321.42,99961.36263958563,99203.79749833254
1732670866.736097,92302.12,99961.36263958563,99103.77570131292
1732670867.748872,92331.99,99993.71125630262,99024.49268075186
1732670867.940013,92336.61,99993.71125630262,98950.28732250647
1732670868.187892,92331.99,99988.708138406,98871.12709264846
1732670868.642746,92336.61,99988.708138406,98797.03666100453
1732670869.092619,92331.99,99983.70527083702,98717.99903167573
1732670897.162485,92342.11,99983.70527083702,98649.899047654
1732670899.689307,92352.08,99994.5003191801,98570.97912841589
1732670900.745346,92342.11,99994.5003191801,98570.97912841589
1732670901.070186,92362.05,99994.5003191801,98513.4534037305
1732670906.493684,92358.86,99994.5003191801,98434.64264100751
1732670907.096469,92355.67,99994.5003191801,98434.64264100751
1732670915.676466,92362.05,99994.5003191801,98434.64264100751
1732670915.853499,92358.86,99994.5003191801,98434.64264100751
1732670916.306602,92362.05,99994.5003191801,98359.35500959682
1732670917.779401,92355.67,99994.5003191801,98280.66752558915
1732670919.634734,92317.83,99953.53053473614,98161.87043701517
1732670925.110772,92339.92,99953.53053473614,98083.34094066556
1732670925.408504,92325.37,99937.78085822266,97989.49435441868
1732670925.663083,92339.92,99937.78085822266,97911.10275893514
1732670929.764004,92345.32,99943.62517795604,97838.5577132082
1732670930.669539,92350.71,99943.62517795604,97760.28686703763
1732670931.19103,92355.85,99943.62517795604,97687.57788768718
1732670931.763391,92366.82,99943.62517795604,97609.42782537703
1732670932.088092,92361.51,99937.87960124682,97609.42782537703
1732670932.438352,92390.35,99937.87960124682,97609.42782537703
1732670932.729799,92366.82,99937.87960124682,97609.42782537703
1732670933.204585,92390.11,99937.87960124682,97609.42782537703
1732670933.531911,92390.35,99937.87960124682,97609.42782537703
1732670934.040189,92390.11,99937.87960124682,97609.42782537703
1732670935.562361,92399.99,99948.56674352277,97609.42782537703
1732670935.767669,92390.11,99948.56674352277,97609.42782537703
1732670935.991327,92399.99,99948.56674352277,97609.42782537703
1732670942.543942,92417.35,99948.56674352277,97609.42782537703
1732670943.192796,92431.17,99948.56674352277,97609.42782537703
1732670943.966514,92436.49,99948.56674352277,97609.42782537703
1732670944.152244,92431.17,99942.81440075125,97609.42782537703
1732670944.557704,92436.49,99942.81440075125,97537.01625395045
1732670957.932608,92421.85,99942.81440075125,97458.98664094729
1732670966.21011,92403.82,99942.81440075125,97362.08431005295
1732670966.399599,92410.39,99942.81440075125,97284.1946426049
1732670966.627498,92403.82,99942.81440075125,97199.51852025313
1732670967.249458,92410.39,99949.92043046531,97121.75890543692
1732670967.463002,92401.46,99949.92043046531,97034.74582961766
1732670972.59045,92422.64,99972.83066710785,96957.11803295396
1732670972.831023,92401.46,99972.83066710785,96957.11803295396
1732670973.070073,92422.64,99995.74615516972,96901.8208112893
1732670973.304318,92422.39,99995.74615516972,96824.29935464027
1732670973.742057,92438.7,100013.3926434264,96763.97499011004
1732670974.137366,92428.42,100013.3926434264,96686.56381011795
1732670974.35729,92438.7,100013.3926434264,96620.02138888101
1732670974.605584,92438.64,100013.3926434264,96542.7253717699
1732670974.82737,92438.7,100013.3926434264,96542.7253717699
1732670975.266449,92438.64,100013.3926434264,96542.7253717699
1732670975.494525,92438.7,100013.45756004092,96465.61554321187
1732670975.751204,92438.64,100013.45756004092,96388.44305077729
1732670975.950716,92430.11,100004.22857535457,96302.50656785413
1732670986.477602,92400.77,100004.22857535457,96225.46456259984
1732670986.68223,92430.11,100035.9829001984,96179.07575657615
1732670987.26083,92400.77,100035.9829001984,96102.13249597089
1732670998.243997,92395.26,100030.01760071247,96019.58610914634
1732670999.443695,92378.68,100030.01760071247,96002.35573674749
1732671000.297393,92377.86,100029.12968356066,95925.55385215809
1732671002.831348,92373.14,100024.01874580885,95843.97740261428
1732671003.030149,92377.86,100029.12968356066,95767.30222069219
1732671003.234639,92373.14,100024.01874580885,95685.86035057702
1732671004.121735,92387.26,100024.01874580885,95609.31166229655
1732671004.327963,92381.02,100017.2629455289,95526.43289287736
1732671004.531039,92387.26,100024.01874580885,95450.01174656306
1732671006.116852,92373.12,100024.01874580885,95359.11569554689
1732671006.933774,92362.07,100012.05351818484,95282.82840299045
1732671010.222895,92356.54,100006.06549024268,95200.96275803329
1732671011.591882,92362.07,100006.06549024268,95206.66307253244
1732671011.784755,92359.3,100003.0662417264,95130.49774207441
1732671012.029567,92362.07,100003.0662417264,95057.30501062465
1732671020.17915,92345.48,99985.10377218721,94981.25916661615
1732671020.603879,92362.07,100003.0662417264,94981.25916661615
1732671020.797515,92345.48,100003.0662417264,94888.28807952165
1732671022.199767,92347.82,100005.60028210397,94812.37744905803
1732671022.455928,92362.06,100005.60028210397,94751.1965256929
1732671022.67921,92347.82,99990.18183271018,94736.58817851522
1732671023.781565,92381.42,99990.18183271018,94660.7989079724
1732671024.18952,92392.83,100002.53158848044,94660.7989079724
1732671025.596772,92386.04,100002.53158848044,94660.7989079724
1732671026.328295,92392.83,100002.53158848044,94660.7989079724
1732671034.021997,92387.9,100002.53158848044,94660.7989079724
1732671034.732425,92378.21,99992.04293649149,94575.21034927155
1732671042.727346,92390.49,99992.04293649149,94499.55018099214
1732671052.397962,92394.92,99996.8374207529,94428.53847681584
1732671055.172776,92397.85,99996.8374207529,94352.99564603438
1732671055.395042,92394.92,99996.8374207529,94352.99564603438
1732671055.633257,92400.77,100003.16873744121,94352.99564603438
1732671057.947439,92418.05,100003.16873744121,94352.99564603438
1732671058.493817,92425.79,100003.16873744121,94352.99564603438
1732671058.909422,92418.05,100003.16873744121,94352.99564603438
1732671059.128674,92425.79,100011.54399017623,94285.46932202991
1732671065.304501,92430.1,100016.20772910233,94210.04094657228
1732671070.361095,92410.73,100016.20772910233,94115.00593069677
1732671073.201565,92373.43,99975.83790897111,94039.71392595221
1732671073.548002,92375.4,99975.83790897111,93966.54622494115
1732671073.752523,92373.43,99973.70582184964,93891.3729879612
1732671077.19761,92381.4,99973.70582184964,93824.4144248785
1732671077.878827,92393.1,99986.36737880933,93749.35489333859
1732671078.078668,92411.26,99986.36737880933,93692.82720547273
1732671078.285813,92393.1,99966.7187728754,93617.87294370835
1732671078.506313,92411.26,99966.7187728754,93617.87294370835
1732671079.61876,92419.21,99975.31875749033,93617.87294370835
1732671080.527374,92427.97,99975.31875749033,93551.90503553303
1732671080.932495,92428.39,99975.77305323954,93477.0635115046
1732671081.840419,92422.89,99975.77305323954,93477.0635115046
1732671082.295286,92428.39,99981.72251826701,93477.0635115046
1732671082.547045,92414.29,99981.72251826701,93388.09306135422
1732671082.738428,92422.89,99991.02673749173,93313.38258690514
1732671082.930298,92414.29,99991.02673749173,93230.11563358048
1732671092.628298,92387.6,99962.14851418207,93155.53154107362
1732671093.719739,92384.77,99962.14851418207,93078.2154455792
1732671093.899387,92384.51,99961.86718903924,93003.75287322274
1732671094.071159,92384.77,99961.86718903924,92929.67087926979
1732671094.313833,92384.51,99961.58586468817,92855.32714256637
1732671095.709695,92397.79,99961.58586468817,92794.43926972196
1732671096.125333,92384.51,99961.58586468817,92720.20371830618
1732671096.351276,92405.36,99984.14591361064,92666.9958833698
1732671097.36208,92410.8,99984.14591361064,92672.45128614736
1732671097.578088,92405.36,99978.26008907746,92598.31332511845
1732671097.958946,92409.82,99978.26008907746,92528.75963042182
1732671098.180543,92410.8,99979.32035188163,92454.73662271748
1732671098.390383,92409.82,99979.32035188163,92379.85227495749
1732671098.612179,92414.27,99984.1348615903,92305.94839313753
1732671098.79509,92410.8,99984.1348615903,92228.69950083055
1732671099.019496,92405.36,99978.24903770773,92154.91654122989
1732671104.144545,92390.79,99978.24903770773,92066.73264374622
1732671104.365615,92393.26,99980.92188285955,92069.1939803105
1732671104.667149,92380.81,99980.92188285955,91995.53862512625
1732671104.951732,92390.79,99991.72293126333,91931.93145867107
1732671105.396419,92380.81,99991.72293126333,91858.38591350413
1732671106.184918,92376.21,99986.74395429308,91780.38761693871
1732671106.607987,92375.49,99985.9646361586,91706.96330684515
1732671107.3284,92371.54,99985.9646361586,91629.73810273838
1732671107.577678,92375.49,99990.2402448614,91556.43431225618
1732671107.803478,92371.54,99990.2402448614,91479.33586659732
1732671108.230044,92367.6,99985.97527811339,91406.15239790404
1732671108.429233,92363.89,99985.97527811339,91329.41748103822
1732671109.083764,92367.6,99989.99143603271,91333.0859291607
1732671110.193994,92373.71,99989.99143603271,91260.01946041737
1732671113.179702,92405.36,100024.25100219013,91218.31322609825
1732671113.401132,92394.76,100024.25100219013,91145.33857551737
1732671113.634617,92405.36,100035.72629646682,91082.92889237966
1732671123.471063,92410.3,100035.72629646682,91010.06254926576
1732671129.142423,92417.33,100043.33639140066,91010.06254926576
1732671129.346774,92410.3,100043.33639140066,91010.06254926576
1732671129.54089,92417.33,100043.33639140066,91010.06254926576
1732671129.712895,92410.3,100043.33639140066,91010.06254926576
1732671129.911773,92417.33,100050.94706526311,90944.23064340786
1732671134.179513,92428.41,100050.94706526311,90871.47525889313
1732671134.382527,92417.33,100038.95330172783,90871.47525889313
1732671134.568189,92428.41,100038.95330172783,90871.47525889313
