,price,value,held,cash
1732670179.88197,92344.99,100000.0,0.0,100000.0
1732670180.140034,92370.85,100000.0,0.0,100000.0
1732670180.349135,92355.64,100000.0,0.0,100000.0
1732670180.589392,92370.85,100000.0,0.0,100000.0
1732670180.835775,92344.99,100000.0,0.0,100000.0
1732670182.362917,92334.58,100000.0,0.0,100000.0
1732670190.678259,92323.35,100000.0,0.0,100000.0
1732670191.098017,92334.58,100000.0,0.0,100000.0
1732670191.289248,92323.35,100000.0,0.0,100000.0
1732670194.219008,92323.46,100000.0,0.0,100000.0
1732670194.395085,92323.35,100000.0,0.0,100000.0
1732670194.850104,92323.46,100000.0,0.0,100000.0
1732670195.212064,92330.42,100000.0,0.0,100000.0
1732670207.93168,92358.14,100000.0,0.0,100000.0
1732670208.16311,92355.38,100000.0,0.0,100000.0
1732670208.798672,92343.94,100000.0,0.0,100000.0
1732670209.037439,92366.01,100000.0,0.0,100000.0
1732670209.287994,92358.14,100000.0,0.0,100000.0
1732670209.521807,92366.01,100000.0,0.0,100000.0
1732670211.27221,92368.38,100000.0,0.0,100000.0
1732670216.690674,92367.2,99998.72250655472,1.082621563786222,0.0
1732670216.991519,92366.01,99998.72250655472,0.0,99998.72250655472
1732670217.315643,92367.2,99998.72250655472,0.0,99998.72250655472
1732670217.624727,92366.01,99997.4341868938,1.082621563786222,0.0
