,price,value
0,91944.74,100000.0
1,91931.02,100000.0
2,91926.96,100000.0
3,91934.37,100000.0
4,91926.96,100000.0
5,91934.37,100000.0
6,91932.77,100000.0
7,91916.27,100000.0
8,91892.29,100000.0
9,91916.27,100000.0
10,91892.29,100000.0
11,91903.07,100000.0
12,91918.7,100000.0
13,91903.07,100000.0
14,91921.04,100000.0
15,91919.86,100000.0
16,91930.71,100000.0
17,91935.82,100000.0
18,91930.71,100000.0
19,91935.82,100000.0
20,91958.36,100024.51710334448
21,91935.82,100024.51710334448
22,91958.36,100024.51710334448
23,91961.75,100028.20445828405
24,91958.36,100028.20445828405
25,91965.14,100028.20445828405
26,91961.75,100028.20445828405
27,91965.14,100028.20445828405
