,price,value,value_with_fees
1732670806.344476,92440.01,100000.0,100000.0
1732670810.782389,92433.43,100000.0,100000.0
1732670811.042656,92433.42,100000.0,100000.0
1732670811.415514,92433.43,100000.0,100000.0
1732670812.071282,92433.7,100000.0,100000.0
1732670812.254531,92433.42,100000.0,100000.0
1732670812.706019,92433.7,100000.0,100000.0
1732670812.943004,92434.53,100000.0,100000.0
1732670813.118161,92433.7,100000.0,100000.0
1732670813.34449,92425.03,100000.0,100000.0
1732670813.588861,92433.7,100000.0,100000.0
1732670813.83307,92418.0,100000.0,100000.0
1732670814.06134,92425.03,100000.0,100000.0
1732670814.817125,92430.43,100000.0,100000.0
1732670815.037102,92417.77,100000.0,100000.0
1732670815.223997,92430.43,100000.0,100000.0
1732670815.411922,92417.77,100000.0,100000.0
1732670818.297949,92407.24,100000.0,100000.0
1732670821.179943,92395.26,100000.0,100000.0
1732670824.216153,92384.18,100000.0,100000.0
1732670824.873733,92390.15,100006.46214535866,92598.57606051727
1732670825.456627,92363.3,100006.46214535866,92571.66548869523
1732670825.700061,92356.39,99998.98033544687,92564.7399001928
1732670825.915473,92363.3,100006.46214535866,85159.56070817738
